,,,,,
Date:,Mongoose,Cat ,,,
1/26,1,,,,
1/27,3,1,,,
1/28,,1,,,
1/29,,,,,
1/30,,,,,
1/31,,,,,
2/1,,,,,
2/2,2,,,,
2/3,5,,,,
2/4,2,,,,
2/7,1,,,,
2/11,2,,,,
2/17,2,,,,
2/18,1,,,,
2/24,1,,,,
2/25,2,,,,
,Mongoose Total,,,,
6/17/2026 3hrs,7,Baseyard: 5,Kapuawailana: 2,,
6/18/2026,10,Baseyard: 4,Kapuawailana: 4,Back Rd: 1,   Wauke: 1
6/19,3,Baseyard: 1,Kapuawailana: 1,Back Rd: 1,
6/23,3,Baseyard: 1,Kapuawailana: 1,Back Rd: 1,
